Time (ms),x1,x2,x3,x4,x5
82600,0.44999,0.23367,-0.47932,-0.595,0.23223
82800,0.33729,-0.25614,-0.22536,0.044515,0.14391
83000,0.49092,-0.18277,0.15408,0.71829,0.82678
83200,0.41621,0.18999,0.55005,0.014568,1.1099
83400,0.0086661,0.20587,0.23799,-0.4217,0.56364
83600,0.24624,-0.32792,-0.6367,-0.19949,-0.040139
83800,0.12219,-0.63889,-0.45169,0.15219,0.10441
84000,0.012507,-0.60348,0.19014,-0.064255,-0.081525
84200,-0.13719,-0.46433,0.44045,-0.21023,0.17615
84400,-0.15231,0.11965,0.012159,-0.095108,0.5783
84600,0.40916,0.047344,-0.42524,0.23375,2.3279
84800,0.43663,0.3514,0.16808,0.3148,3.2387
85000,0.45643,0.70897,0.5441,-0.10112,3.1126
85200,0.45303,0.54757,0.27323,-0.23826,0.78608
85400,0.75868,0.74377,-0.26314,0.16476,-1.659
85600,0.664,-0.28071,-0.090755,0.18455,-2.1442
85800,0.51219,-0.062134,0.18549,0.063246,-1.1594
86000,0.10996,0.17216,0.046136,-0.02084,1.3108
86200,0.1852,0.13998,-0.40042,0.10156,2.0425
86400,0.0093115,-0.2553,-0.23036,0.23734,1.2702
86600,0.21706,-0.09112,0.12219,0.046157,0.26306
86800,0.28624,-0.3235,0.54761,-0.39507,-0.37669
87000,0.11596,0.4036,0.35037,-0.29954,-0.21768
87200,0.218,0.055359,-0.40052,0.049127,-0.50666
87400,0.64746,-0.18088,-0.53113,0.11187,-0.52537
87600,0.032896,0.339,0.36489,-0.00035832,-0.75703
87800,-0.097115,0.091466,0.23719,0.25716,-0.2633
88000,0.16783,-0.36721,-0.26112,0.40078,0.93284
88200,0.15201,0.2316,-0.13948,0.015521,0.81031
88400,-0.38746,0.54202,0.073618,-0.029066,0.1421
88600,-0.29098,0.35937,-0.27723,0.077378,-1.769
88800,-0.28593,-0.52328,-0.13555,-0.078219,-0.75089
89000,-0.16284,-0.92572,0.077766,0.045158,0.01844
89200,-0.36052,-0.21252,0.21235,-0.21702,0.45645
89400,-0.33492,0.54998,-0.020323,-0.033837,0.89888
89600,-0.52619,-0.091554,-0.20413,0.43543,2.1188
89800,-0.78221,-0.18776,-0.25066,0.14465,1.386
90000,-0.42246,-0.107,-0.30655,-0.49034,0.48815
