Time,x,y
874,-0.94482,-0.59263
875,-0.933305,-0.61492
876,-0.92179,-0.63721
877,-0.95455,-0.64068
878,-0.98731,-0.64415
879,-0.952745,-0.62977
880,-0.91818,-0.61539
881,-0.940565,-0.617455
882,-0.96295,-0.61952
883,-0.95818,-0.65424
884,-0.95341,-0.68896
885,-0.939255,-0.700195
886,-0.9251,-0.71143
887,-0.961435,-0.712875
888,-0.99777,-0.71432
889,-0.960225,-0.713015
890,-0.92268,-0.71171
891,-0.96349,-0.713285
892,-1.0043,-0.71486
893,-0.966085,-0.69514
894,-0.92787,-0.67542
895,-0.92735,-0.708235
896,-0.92683,-0.74105
897,-0.966215,-0.72191
898,-1.0056,-0.70277
899,-1.0119,-0.695465
900,-1.0182,-0.68816
901,-1.007755,-0.71934
902,-0.99731,-0.75052
903,-0.983675,-0.747455
904,-0.97004,-0.74439
905,-0.95883,-0.74474
906,-0.94762,-0.74509
907,-0.95644,-0.753905
908,-0.96526,-0.76272
909,-0.979885,-0.758175
910,-0.99451,-0.75363
911,-0.98888,-0.73276
912,-0.98325,-0.71189
913,-0.96301,-0.739965
914,-0.94277,-0.76804
915,-0.95383,-0.74724
916,-0.96489,-0.72644
917,-0.982795,-0.74058
918,-1.0007,-0.75472
919,-0.98882,-0.757625
920,-0.97694,-0.76053
921,-0.95846,-0.754735
922,-0.93998,-0.74894
923,-0.97589,-0.74979
924,-1.0118,-0.75064
925,-0.97972,-0.74728
926,-0.94764,-0.74392
927,-0.97977,-0.78505
928,-1.0119,-0.82618
929,-1.0163,-0.796385
930,-1.0207,-0.76659
931,-1.0242,-0.799825
932,-1.0277,-0.83306
933,-1.02895,-0.84408
934,-1.0302,-0.8551
935,-0.98252,-0.85318
936,-0.93484,-0.85126
937,-0.93899,-0.853945
938,-0.94314,-0.85663
939,-0.98522,-0.8599
940,-1.0273,-0.86317
941,-0.99647,-0.82582
942,-0.96564,-0.78847
943,-0.95049,-0.824575
944,-0.93534,-0.86068
945,-0.97332,-0.830205
946,-1.0113,-0.79973
947,-1.0183,-0.817955
948,-1.0253,-0.83618
949,-1.0117,-0.827465
950,-0.9981,-0.81875
951,-0.979545,-0.84702
952,-0.96099,-0.87529
953,-0.967695,-0.884835
954,-0.9744,-0.89438
955,-0.982095,-0.899825
956,-0.98979,-0.90527
957,-0.966865,-0.890355
958,-0.94394,-0.87544
959,-0.98957,-0.892965
960,-1.0352,-0.91049
961,-1.009995,-0.910955
962,-0.98479,-0.91142
963,-1.003195,-0.928935
964,-1.0216,-0.94645
965,-1.003745,-0.92085
966,-0.98589,-0.89525
967,-0.98285,-0.879495
968,-0.97981,-0.86374
969,-0.976245,-0.87238
970,-0.97268,-0.88102
971,-0.99459,-0.926115
972,-1.0165,-0.97121
973,-1.00995,-0.942905
974,-1.0034,-0.9146
975,-1.00415,-0.931335
976,-1.0049,-0.94807
977,-0.99065,-0.96333
978,-0.9764,-0.97859
979,-0.97771,-0.960255
980,-0.97902,-0.94192
981,-0.9743,-0.95114
982,-0.96958,-0.96036
983,-0.99579,-0.958325
984,-1.022,-0.95629
985,-0.997805,-0.94084
986,-0.97361,-0.92539
987,-0.9679,-0.965245
988,-0.96219,-1.0051
989,-0.98094,-0.993815
990,-0.99969,-0.98253
991,-0.99977,-1.004315
992,-0.99985,-1.0261
993,-0.985165,-1.013
994,-0.97048,-0.9999
995,-0.99329,-0.98583
996,-1.0161,-0.97176
997,-0.98065,-1.00613
998,-0.9452,-1.0405
999,-0.9908,-1.01089
1000,-1.0364,-0.98128
1001,-1.012675,-0.99884
1002,-0.98895,-1.0164
1003,-1.007625,-1.00027
1004,-1.0263,-0.98414
1005,-1.00797,-1.00547
1006,-0.98964,-1.0268
1007,-0.98451,-1.01158
1008,-0.97938,-0.99636
1009,-0.943485,-1.01653
1010,-0.90759,-1.0367
1011,-0.94016,-1.0249
1012,-0.97273,-1.0131
1013,-0.954235,-1.01035
1014,-0.93574,-1.0076
1015,-0.93367,-0.99423
1016,-0.9316,-0.98086
1017,-0.908575,-0.99468
1018,-0.88555,-1.0085
1019,-0.921585,-1.000945
1020,-0.95762,-0.99339
1021,-0.915015,-0.972305
1022,-0.87241,-0.95122
1023,-0.88082,-0.96693
1024,-0.88923,-0.98264
1025,-0.910105,-0.99952
1026,-0.93098,-1.0164
1027,-0.903745,-0.9987
1028,-0.87651,-0.981
1029,-0.87618,-0.975775
1030,-0.87585,-0.97055
1031,-0.869895,-0.95201
1032,-0.86394,-0.93347
1033,-0.85192,-0.958555
1034,-0.8399,-0.98364
1035,-0.8441,-0.95673
1036,-0.8483,-0.92982
1037,-0.83302,-0.941625
1038,-0.81774,-0.95343
1039,-0.80426,-0.978015
1040,-0.79078,-1.0026
1041,-0.794685,-0.9913
1042,-0.79859,-0.98
1043,-0.81342,-0.962545
1044,-0.82825,-0.94509
1045,-0.84243,-0.94956
1046,-0.85661,-0.95403
1047,-0.81132,-0.96708
1048,-0.76603,-0.98013
1049,-0.79073,-0.977115
1050,-0.81543,-0.9741
1051,-0.7934,-0.94604
1052,-0.77137,-0.91798
1053,-0.76618,-0.925125
1054,-0.76099,-0.93227
1055,-0.758085,-0.95493
1056,-0.75518,-0.97759
1057,-0.762775,-0.94799
1058,-0.77037,-0.91839
1059,-0.78114,-0.93312
1060,-0.79191,-0.94785
1061,-0.768025,-0.943805
1062,-0.74414,-0.93976
1063,-0.75507,-0.926515
1064,-0.766,-0.91327
1065,-0.761435,-0.927575
1066,-0.75687,-0.94188
1067,-0.756085,-0.96022
1068,-0.7553,-0.97856
1069,-0.755595,-0.97455
1070,-0.75589,-0.97054
1071,-0.76583,-0.943715
1072,-0.77577,-0.91689
1073,-0.768135,-0.923145
1074,-0.7605,-0.9294
1075,-0.728285,-0.90437
1076,-0.69607,-0.87934
1077,-0.693945,-0.919925
1078,-0.69182,-0.96051
1079,-0.708765,-0.945485
1080,-0.72571,-0.93046
1081,-0.71765,-0.92093
1082,-0.70959,-0.9114
1083,-0.70184,-0.932115
1084,-0.69409,-0.95283
1085,-0.720835,-0.91219
1086,-0.74758,-0.87155
1087,-0.723335,-0.88411
1088,-0.69909,-0.89667
1089,-0.716435,-0.882065
1090,-0.73378,-0.86746
1091,-0.738355,-0.8802
1092,-0.74293,-0.89294
1093,-0.740925,-0.92276
1094,-0.73892,-0.95258
1095,-0.69319,-0.936465
1096,-0.64746,-0.92035
1097,-0.66655,-0.92958
1098,-0.68564,-0.93881
1099,-0.702285,-0.91193
1100,-0.71893,-0.88505
1101,-0.692285,-0.91249
1102,-0.66564,-0.93993
1103,-0.666995,-0.908265
1104,-0.66835,-0.8766
1105,-0.68017,-0.88543
1106,-0.69199,-0.89426
1107,-0.672285,-0.901855
1108,-0.65258,-0.90945
1109,-0.664655,-0.89791
1110,-0.67673,-0.88637
1111,-0.68396,-0.875835
1112,-0.69119,-0.8653
1113,-0.68851,-0.85897
1114,-0.68583,-0.85264
1115,-0.67697,-0.87653
1116,-0.66811,-0.90042
1117,-0.6842,-0.899645
1118,-0.70029,-0.89887
1119,-0.683105,-0.896185
1120,-0.66592,-0.8935
1121,-0.654165,-0.876435
1122,-0.64241,-0.85937
1123,-0.64063,-0.84863
1124,-0.63885,-0.83789
1125,-0.662,-0.841855
1126,-0.68515,-0.84582
1127,-0.657985,-0.83912
1128,-0.63082,-0.83242
1129,-0.63475,-0.83165
1130,-0.63868,-0.83088
1131,-0.628025,-0.8648
1132,-0.61737,-0.89872
1133,-0.60984,-0.86385
1134,-0.60231,-0.82898
1135,-0.63082,-0.82251
1136,-0.65933,-0.81604
1137,-0.619485,-0.82451
1138,-0.57964,-0.83298
1139,-0.599715,-0.82674
1140,-0.61979,-0.8205
1141,-0.5996,-0.85988
1142,-0.57941,-0.89926
1143,-0.591655,-0.86929
1144,-0.6039,-0.83932
1145,-0.627335,-0.854455
1146,-0.65077,-0.86959
1147,-0.654685,-0.85278
1148,-0.6586,-0.83597
1149,-0.65933,-0.822995
1150,-0.66006,-0.81002
1151,-0.64989,-0.83433
1152,-0.63972,-0.85864
1153,-0.62207,-0.837985
1154,-0.60442,-0.81733
1155,-0.62236,-0.84626
1156,-0.6403,-0.87519
1157,-0.642985,-0.85661
1158,-0.64567,-0.83803
1159,-0.620565,-0.83164
1160,-0.59546,-0.82525
1161,-0.57314,-0.81993
1162,-0.55082,-0.81461
