Time (ms),Upper body mq,Left Hand mq,Right Hand mq,Upper body mq.1,Left Hand mq.1,Right Hand mq.1
34298,15.878302,4.213680999999999,3.3330290000000002,44.432888,3.3570580000000003,12.583219
34400,11.905371,0.813562,1.247622,72.987648,21.025779999999997,4.734458999999999
34550,133.30291699999998,37.118598999999996,12.09106,0.0,0.0,0.0
34650,134.82811,36.820667,12.353405,20.086592,4.263473,2.7051790000000002
34766,5.099844,1.257414,0.638328,72.529556,37.151043,0.868762
34866,3.757471,1.232936,0.18141600000000002,22.661722,6.803265,0.34389400000000003
34950,2.554138,0.843887,0.26163000000000003,19.388275,8.387748,0.344777
35098,5.468535,0.580749,0.63293,8.158847,2.864399,0.164881
35198,6.860192,2.377305,0.442562,10.107111999999999,5.847976,0.037817
35300,15.090898999999999,6.512976999999999,0.46591000000000005,7.647386999999999,3.110843,0.017577000000000002
35430,9.579476,4.636076999999999,0.45060500000000003,25.482222,12.549825,0.042002
35530,6.544002,4.841778,0.238294,22.008454999999998,12.64889,0.123404
35630,7.874032000000001,2.324933,0.192445,8.258261,4.27428,0.08845499999999999
35730,4.957288,0.178125,0.154449,12.584297,9.471939,0.047936
35798,6.305432,1.900929,0.104272,21.305593,6.387832,0.042388999999999996
35900,139.517853,39.205771999999996,16.908297,20.185738,6.514394,0.077266
36034,135.439789,33.556072,18.159698000000002,57.944862,31.125996,0.011248000000000001
36130,22.874326999999997,4.972091000000001,12.355131,9.742038,0.0,0.07207100000000001
36230,12.687416,2.309584,6.6231729999999995,2.605872,0.0,0.154839
36326,9.48656,3.028855,1.008042,11.953173,0.0,3.2366040000000003
36430,7.714625999999999,1.6615790000000001,2.740223,5.05162,0.0,1.335707
36530,11.845680999999999,2.836386,3.5791449999999996,34.934868,0.0,19.698866
36598,10.237232,4.436852,0.20621599999999998,27.62981,0.0,15.742512
36698,18.670437,8.5563,1.265325,11.228455,0.0,4.534114
36800,17.693647,11.509601,0.876274,18.136213,0.0,9.624915
36930,21.139812,5.119599,12.208984,40.174690000000005,0.0,19.007317999999998
37030,7.497857000000001,2.357065,2.511659,4.604705,0.0,0.201764
37100,144.040359,36.857735,24.246481,55.411201,0.0,26.052661999999998
37200,27.687553,0.0,11.123529,32.341578999999996,0.0,17.498673999999998
37300,12.344288,0.0,4.241854,30.809706,0.0,16.135653
37398,175.972336,47.999615000000006,21.381451000000002,32.358321999999994,0.0,4.886826999999999
37500,12.511722,1.7289459999999999,6.890759,18.832594,0.0,2.5644270000000002
37600,137.716644,36.086104999999996,20.353873999999998,16.902596,0.0,1.98235
37726,151.217865,40.115387,28.721588,13.772041,0.0,1.383761
37826,7.979342999999999,2.574693,2.699226,6.20999,0.0,0.68128
37926,5.646008,1.028667,0.531821,8.699471,0.0,0.339422
38026,5.0644480000000005,0.47346800000000006,1.62904,83.34234599999999,0.0,28.902578000000002
38094,3.536911,0.170433,1.095964,13.687211999999999,0.0,7.802575999999999
38194,10.932097,4.256797,0.635321,8.727886,0.0,4.622796
38300,7.624751,2.757813,0.42815699999999995,72.924072,0.0,29.303879
38426,16.754938,8.089516999999999,0.233539,25.599731,0.0,8.268791
38526,3.168516,1.064063,0.086311,52.0951,0.0,27.234783
38600,138.021378,36.271252000000004,20.279493,10.416481,0.0,7.318142
38830,135.950333,37.702723999999996,16.05764,90.61457800000001,0.0,26.27174
38894,14.31254,1.362142,9.922546,14.206085,0.0,0.0
38994,4.6407169999999995,0.350371,1.8024650000000002,2.699967,0.0,0.0
39100,16.561779,3.175027,9.135287,23.96871,0.0,4.480827
39226,21.694664000000003,2.559271,7.72226,18.28742,0.0,1.4892219999999998
39330,21.347122,1.6957360000000001,1.599453,9.675078,0.0,0.0
39430,36.236221,3.383493,5.941466999999999,17.612454999999997,0.0,0.0
39530,46.283669,9.281634,15.802862,11.66578,0.0,0.0
39594,42.067677,2.34139,18.2381,3.536164,0.0,0.149472
39690,42.469284,6.6109279999999995,3.791343,3.9726879999999998,0.0,0.16050599999999998
39790,36.236216999999996,6.177677,2.145494,3.46679,0.0,0.059275
39900,47.207684,0.0,7.400938000000001,33.195324,0.0,0.0
40000,138.986404,0.0,17.893406,8.378473,0.0,3.4711760000000003
40100,19.183467999999998,0.0,5.734451,8.803205,0.0,0.852614
40226,235.21099900000002,69.78733100000001,15.119945999999999,29.228083,0.0,2.708925
40394,33.289284,7.8940410000000005,4.194376,25.729797,0.0,2.887517
40490,16.920919,3.797836,0.0,9.608725,0.0,2.847342
40600,7.0759360000000004,1.206636,0.0,11.148569,0.0,1.42539
40726,6.730467999999999,0.198275,0.0,13.665732,0.0,2.682394
40826,6.407166,0.48764399999999997,0.0,9.274188,0.0,3.039216
40926,10.47364,0.363762,0.0,4.594981,0.0,1.080085
41026,11.674392999999998,0.234812,4.831721,2.883686,0.0,0.6245850000000001
41090,10.327207000000001,4.324118,1.804846,2.004883,0.0,0.33287
41190,27.554457,2.277566,6.673054,1.6744740000000002,0.0,0.16833800000000002
41300,6.360826,1.053194,1.08991,3.296647,0.0,1.9041849999999998
41400,5.216619000000001,0.27531,1.52664,6.803363,0.0,4.250362
41526,10.16451,0.305287,1.035796,14.641264000000001,0.0,1.3250600000000001
41626,9.983149000000001,0.202261,1.3840649999999999,10.263014,0.0,2.7421279999999997
41726,3.24051,0.104125,0.35673299999999997,12.231534,0.0,0.8475809999999999
41822,4.225149,0.063084,0.0,11.329902,0.0,1.0308469999999998
41890,2.4490439999999998,0.043364,0.0,11.817905,0.0,0.254297
42000,28.474264,17.198872,0.0,64.369026,0.0,0.606958
42122,13.522920999999998,3.500231,0.0,0.0,0.0,0.0
42222,18.264391,10.000145,0.0,10.313974,0.0,0.410945
42326,25.392670000000003,10.103914999999999,0.0,6.179443,0.0,0.051869000000000005
42422,42.19854,18.755688,0.0,2.535471,0.0,0.030195999999999997
42522,45.140011,17.226864000000003,0.0,15.634879999999999,0.0,0.85021
42622,21.411783,9.221444,0.0,18.832798,0.0,3.66676
42690,10.582172,0.0,0.0,23.470963,0.0,1.7499080000000002
42790,39.226479,21.005449,0.0,28.692406,0.0,2.067494
42900,88.372116,28.626960999999998,0.0,11.606733,0.0,0.339643
43022,28.937006,16.192145999999997,0.0,8.155156,0.0,0.9612200000000001
43122,20.131973000000002,2.423495,0.0,4.132978,0.0,0.38471500000000003
43222,29.483259000000004,8.276278,0.0,1.8344349999999998,0.0,0.30753800000000003
43322,21.019806,5.9151489999999995,0.0,3.356143,0.0,0.243169
43390,24.232208,1.276133,0.0,2.736109,0.0,0.084699
43490,36.729534,3.227677,18.199911,2.810091,0.0,0.037288
43590,15.552658,5.274112000000001,2.961754,31.321407,0.0,0.007417
43700,11.170364999999999,2.9281599999999997,1.310574,9.735161999999999,0.0,0.069601
43822,5.9528989999999995,0.795376,0.0,3.9218629999999997,0.0,0.116932
43922,4.815992,0.265968,0.0,14.125532000000002,0.0,1.957436
44022,11.716372,1.1986379999999999,0.0,14.794619,5.590014,0.0
44100,250.81131000000002,50.437279,22.882429000000002,25.318217999999998,3.623111,1.9024470000000002
44200,48.903782,0.0,7.128928999999999,9.004954,0.0,1.488424
44286,0.0,0.0,0.0,17.556519,0.9390270000000001,2.254985
44400,99.543243,0.0,0.0,5.88448,1.870178,0.0
44522,13.561585999999998,2.349686,0.0,2.4477580000000003,0.0,0.0
44622,27.662657,12.70394,0.0,3.966588,0.0,0.0
44722,28.929527,7.895778999999999,0.0,1.741408,0.0,0.0
44818,35.644141999999995,12.281104,0.0,1.2645469999999999,0.0,0.0
44918,40.812172,11.305665,0.0,7.432602,0.0,0.0
44986,71.977707,8.107116,23.522392,7.649469,0.0,0.0
45100,63.462025,7.353786,7.30852,4.034813,0.0,0.0
45222,58.89159,22.032282000000002,0.0,9.638494999999999,0.0,0.0
45322,66.116753,1.7025290000000002,29.051315000000002,10.680505,0.0,0.0
45422,23.053581,0.357931,4.373755,4.200265,0.0,0.0
45500,32.390373,7.693839,3.519039,2.69841,0.0,0.0
45650,41.054657,9.40301,1.4028770000000002,2.461751,0.0,0.0
45750,48.905861,9.687086,9.195063000000001,1.842932,0.0,0.0
45886,30.97937,3.632249,6.143714,5.301472,3.573747,0.0
45986,23.292127999999998,1.52884,4.453043,5.454416,2.246713,0.0
46086,21.06945,4.216465,2.21538,6.4294839999999995,0.795856,0.0
46154,9.502442,0.0,0.831082,15.527145,3.680473,0.966059
46254,9.466313000000001,1.9546880000000002,0.379606,5.532829,1.6420830000000002,0.26361599999999996
46350,23.177564999999998,9.880115,2.6404669999999997,25.369208999999998,5.302389,0.0
46450,11.934637,2.738069,0.8100430000000001,33.936077000000004,5.644944000000001,0.0
46586,21.287385999999998,0.46883800000000003,11.287894,22.580009,1.053344,0.0
46700,13.902516,0.821449,3.663146,14.435229000000001,0.8224040000000001,0.0
46800,99.420395,19.396141,10.583515,7.612164,0.576156,0.0
46918,102.223389,18.311783,11.599362,10.697324,1.430806,0.0
47000,6.813097,1.6517939999999998,1.157342,37.878124,2.139793,8.90976
47150,8.416852,0.6936640000000001,1.0938940000000001,5.633415,1.2025780000000001,0.890766
47286,8.343355,1.147661,0.714599,57.088181000000006,14.860873000000002,6.446038
47400,19.683369,1.369543,5.90762,27.444540000000003,12.249309,1.210105
47518,14.094206,0.854485,2.520739,12.572271,5.6234720000000005,0.083634
47614,6.170836,0.22521,0.814763,11.510629,1.098974,1.7756619999999999
47700,5.534202,2.38449,0.0,5.412984,1.372803,0.936672
47850,6.31142,3.5042739999999997,0.0,14.558966,1.06756,0.61455
47950,3.536439,0.47284899999999996,0.0,7.364267,0.5844729999999999,0.0
48082,52.204704,0.811555,24.68569,14.052991,0.401804,2.2192439999999998
48182,11.571014,0.45063400000000003,4.214448,11.871727,0.292891,1.806356
48286,2.579807,0.269379,0.610349,10.96148,0.124287,1.203156
48386,41.565689,0.255285,19.414587,18.689323,0.149052,4.175377
48454,29.14072,0.171718,16.396589000000002,66.565567,33.853226,2.083582
48550,3.557575,0.286673,0.0,17.006119,5.097027,2.033309
48650,47.401127,3.798339,20.203653,11.315559,4.7620629999999995,1.37322
48750,34.729267,0.638208,14.841184,37.844059,0.0,3.260807
48882,14.365179000000001,2.255865,4.787683,9.119709,0.0,0.8588110000000001
48982,21.674553,1.011209,5.8989400000000005,8.29751,0.0,2.259723
49082,5.883112000000001,0.477368,2.204561,20.437006,0.0,2.939683
49182,4.168921,0.170067,1.027505,6.474236,0.0,1.7515049999999999
49282,5.189928,0.170149,1.6583169999999998,11.09601,0.0,1.6719970000000002
49346,2.762189,0.189686,0.297501,3.4433230000000004,0.0,0.706777
49450,2.733931,0.13025899999999999,0.0,34.593052,0.0,7.194249
49582,15.58978,0.082217,0.0,20.0219,0.0,3.268469
49682,7.210183,0.623161,0.0,10.070625,0.0,3.5484760000000004
49782,2.920181,0.10025,0.0,7.214548,0.0,1.429429
49882,3.143765,0.171784,0.0,4.586858,0.0,1.209841
49982,10.679403,0.278352,0.0,14.180439999999999,0.0,1.588408
